,date,confirmed,recovered,deaths,active
0,2019-12-31,0,0,0,0
1,2020-01-01,0,0,0,0
2,2020-01-02,0,0,0,0
3,2020-01-03,0,0,0,0
4,2020-01-04,0,0,0,0
5,2020-01-05,0,0,0,0
6,2020-01-06,0,0,0,0
7,2020-01-07,0,0,0,0
8,2020-01-08,0,0,0,0
9,2020-01-09,0,0,0,0
10,2020-01-10,0,0,0,0
11,2020-01-11,0,0,0,0
12,2020-01-12,0,0,0,0
13,2020-01-13,0,0,0,0
14,2020-01-14,0,0,0,0
15,2020-01-15,0,0,0,0
16,2020-01-16,0,0,0,0
17,2020-01-17,0,0,0,0
18,2020-01-18,0,0,0,0
19,2020-01-19,0,0,0,0
20,2020-01-20,0,0,0,0
21,2020-01-21,0,0,0,0
22,2020-01-22,555,28,17,510
23,2020-01-23,654,30,18,606
24,2020-01-24,941,36,26,879
25,2020-01-25,1434,39,42,1353
26,2020-01-26,2118,52,56,2010
27,2020-01-27,2927,61,82,2784
28,2020-01-28,5578,107,131,5340
29,2020-01-29,6166,126,133,5907
30,2020-01-30,8234,143,171,7920
31,2020-01-31,9927,222,213,9492
32,2020-02-01,12038,284,259,11495
33,2020-02-02,16787,472,362,15953
34,2020-02-03,19881,623,426,18832
35,2020-02-04,23892,852,492,22548
36,2020-02-05,27635,1124,564,25947
37,2020-02-06,30794,1487,634,28673
38,2020-02-07,34391,2011,719,31661
39,2020-02-08,37120,2616,806,33698
40,2020-02-09,40150,3244,906,36000
41,2020-02-10,42762,3946,1013,37803
42,2020-02-11,44802,4683,1113,39006
43,2020-02-12,45221,5150,1118,38953
44,2020-02-13,60368,6295,1371,52702
45,2020-02-14,66885,8058,1523,57304
46,2020-02-15,69030,9395,1666,57969
47,2020-02-16,71224,10865,1770,58589
48,2020-02-17,73258,12583,1868,58807
49,2020-02-18,75136,14352,2007,58777
50,2020-02-19,75639,16121,2122,57396
51,2020-02-20,76197,18177,2247,55773
52,2020-02-21,76819,18890,2251,55678
53,2020-02-22,78572,22886,2458,53228
54,2020-02-23,78958,23394,2469,53095
55,2020-02-24,79561,25227,2629,51705
56,2020-02-25,80406,27905,2708,49793
57,2020-02-26,81388,30384,2770,48234
58,2020-02-27,82746,33277,2814,46655
59,2020-02-28,84112,36711,2872,44529
60,2020-02-29,86011,39782,2941,43288
61,2020-03-01,88369,42716,2996,42657
62,2020-03-02,90306,45602,3085,41619
63,2020-03-03,92840,48228,3160,41452
64,2020-03-04,95120,51170,3254,40696
65,2020-03-05,97886,53796,3348,40742
66,2020-03-06,101801,55865,3460,42476
67,2020-03-07,105847,58358,3558,43931
68,2020-03-08,109821,60694,3802,45325
69,2020-03-09,113590,62494,3988,47108
70,2020-03-10,118620,64404,4262,49954
71,2020-03-11,125875,67003,4615,54257
72,2020-03-12,128352,68324,4720,55308
73,2020-03-13,145205,70251,5404,69550
74,2020-03-14,156101,72624,5819,77658
75,2020-03-15,167454,76034,6440,84980
76,2020-03-16,181574,78088,7126,96360
77,2020-03-17,197102,80840,7905,108357
78,2020-03-18,214821,83312,8733,122776
79,2020-03-19,242570,84975,9867,147728
80,2020-03-20,272208,87420,11299,173489
81,2020-03-21,304507,91692,12973,199842
82,2020-03-22,336953,97899,14651,224403
83,2020-03-23,378235,98351,16505,263379
84,2020-03-24,418045,108000,18625,291420
85,2020-03-25,467653,113787,21181,332685
86,2020-03-26,529591,122150,23970,383471
87,2020-03-27,593291,130915,27198,435178
88,2020-03-28,660693,139415,30652,490626
89,2020-03-29,720140,149082,33925,537133
90,2020-03-30,782389,164566,37582,580241
91,2020-03-31,857487,178034,42107,637346
92,2020-04-01,932605,193177,46809,692619
93,2020-04-02,1013466,210263,52983,750220
94,2020-04-03,1095917,225796,58787,811334
95,2020-04-04,1197408,246152,64606,886650
96,2020-04-05,1272115,260012,69374,942729
97,2020-04-06,1345101,276515,74565,994021
98,2020-04-07,1426096,300054,81865,1044177
99,2020-04-08,1511104,328661,88338,1094105
100,2020-04-09,1595350,353975,95455,1145920
101,2020-04-10,1691719,376096,102525,1213098
102,2020-04-11,1771514,402110,108503,1260901
103,2020-04-12,1846679,421722,114091,1310866
104,2020-04-13,1917319,448655,119482,1349182
105,2020-04-14,1976191,474261,125984,1375946
